"Reference","Value","Name","URL","Price","Qty"
"BZ1","Buzzer","CMT-8504-03-SMT-TR","https://www.digikey.jp/ja/products/detail/same-sky-formerly-cui-devices/CMT-8504-03-SMT-TR/25577254","185","1"
"C1,C38","4.7u","GRM188R60J226MEA0D","https://www.digikey.jp/ja/products/detail/murata-electronics/GRM188R60J226MEA0D/4280542","30","2"
"C2,C6","4.7u","GRM188R60G106ME47D","https://www.digikey.jp/ja/products/detail/murata-electronics/GRM188R60G106ME47D/702562","19","2"
"C3,C7,C8,C9,C11,C12,C14,C18,C19,C32,C33,C35,C37","0.1u","GCJ188R91H124KA01D","https://www.digikey.jp/ja/products/detail/murata-electronics/GCJ188R91H124KA01D/13401917","36","13"
"C4,C5","15p","GCM1885C2A150JA16D","https://www.digikey.jp/ja/products/detail/murata-electronics/GCM1885C2A150JA16D/1765189","16","2"
"C10","1u","GRM188D71H105ME01W","https://www.digikey.jp/ja/products/detail/murata-electronics/GRM188D71H105ME01W/22528412","47","1"
"C13","0.5p","CC0603CRNPO9BNR50","https://www.digikey.jp/ja/products/detail/yageo/CC0603CRNPO9BNR50/302782","15","1"
"C15,C17","47n","GCJ188R71H473KA12D","https://www.digikey.jp/ja/products/detail/murata-electronics/GCJ188R71H473KA12D/2785873","22","2"
"C16","4.7n","GRM1885C1H472JA01D","https://www.digikey.jp/ja/products/detail/murata-electronics/GRM1885C1H472JA01D/4421616","16","1"
"C20,C21,C22,C23,C24,C25","1000u","35ZLH1000MEFC12.5X20","https://akizukidenshi.com/catalog/g/g102722/","60","6"
"C26,C27,C28,C29,C30,C31","4.7u","GCJ31CC71E106MA15L","https://www.digikey.jp/ja/products/detail/murata-electronics/GCJ31CC71E106MA15L/10694168","107","6"
"C34,C36","0.33u","GCM21BR71H474KA55L","https://www.digikey.jp/ja/products/detail/murata-electronics/GCM21BR71H474KA55L/1641662","33","2"
"D1,D14,D15,D16","DIS,EMG,LED,SOFT_EMG","SMLD12BN1WT86","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/SMLD12BN1WT86/9826162","48","4"
"D2,D10","D","PMEG3010ER,115","https://www.digikey.jp/ja/products/detail/nexperia-usa-inc/PMEG3010ER-115/2119868","30","2"
"D3","PWR","SML-D12D8WT86","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/SML-D12D8WT86/1641796","30","1"
"D4,D5","24VA,BATT","SML-D12U8WT86","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/SML-D12U8WT86/1641799","30","2"
"D6","D","PMEG3050EP,115","https://www.digikey.jp/ja/products/detail/nexperia-usa-inc/PMEG3050EP-115/2228695","93","1"
"D8,D9,D11","LED","SML-D14MWT86A","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/SML-D14MWT86A/9448204","53","3"
"D12,D13","D","SL1J","https://www.digikey.jp/ja/products/detail/diotec-semiconductor/SL1J/13154909","16","2"
"D17","D_TVS","5.0SMDJ30CA/TR13","https://www.digikey.jp/ja/products/detail/yageo/5-0SMDJ30CA-TR13/15855988","175","1"
"D18","D_TVS","AQ4022-01FTG-C","https://www.digikey.jp/ja/products/detail/littelfuse-inc/AQ4022-01FTG-C/7902202","69","1"
"F1","Polyfuse","MF-FSMF020X-2","https://akizukidenshi.com/catalog/g/g114311/","20","1"
"F2","Polyfuse","MF-USML450/12-2","https://www.digikey.jp/ja/products/detail/bourns-inc/MF-USML450-12-2/10057156","121","1"
"FB1","FerriteBead","BLM18KG601SN1D","https://www.digikey.jp/ja/products/detail/murata-electronics/BLM18KG601SN1D/1982766","16","1"
"J1","CAN","B04B-PASK","https://www.digikey.jp/ja/products/detail/jst-sales-america-inc/B04B-PASK/926725","43","1"
"J2","Vin","XT60U-M","https://akizukidenshi.com/catalog/g/g117953/","60","1"
"J3,J12","Vout","XT60U-F","https://akizukidenshi.com/catalog/g/g117952/","60","2"
"J4","Power","USB4125-GF-A","https://www.digikey.jp/ja/products/detail/gct/USB4125-GF-A/13547388","92","1"
"J5","SWD","SM04B-SRSS-TB","https://www.digikey.jp/ja/products/detail/jst-sales-america-inc/SM04B-SRSS-TB/926710","81","1"
"J6","Debug","5077CR-16-SMC2-BK-TR","https://akizukidenshi.com/catalog/g/g114356/","110","1"
"J7,J8,J9,J10,J11","BTN1,BTN2,EMG_EXSIG,EMG_R,PWR_SW","B02B-PASK","https://www.digikey.jp/ja/products/detail/jst-sales-america-inc/B02B-PASK/926723","25","5"
"K1","A31CxPxxVDC2","A31CSP24VDC2","https://www.digikey.jp/ja/products/detail/cit-relay-and-switch/A31CSP24VDC2/12502598","786","1"
"Q1","Q_NMOS","NP52N06SLG","https://akizukidenshi.com/catalog/g/g109928/","20","1"
"R1,R2","420,430","ESR03EZPJ431","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ431/4051257","22","2"
"R3,R5","1.5k","ESR03EZPJ152","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ152/1983456","22","2"
"R4","120","ESR03EZPJ121","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ121/1983454","22","1"
"R6,R13,R14,R17","100,96","ESR03EZPJ101","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ101/1983452","22","4"
"R7","600","ESR03EZPF5900","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPF5900/20506305","22","1"
"R8","300","ESR03EZPJ301","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ301/1762729","22","1"
"R9","1k","ESR03EZPJ102","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ102/1762721","22","1"
"R10,R11,R15,R16","5.1k","ESR03EZPJ512","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ512/1762735","22","4"
"R12,R21,R22,R23,R26,R27,R29,R34,R35,R36,R38","10k","ESR03EZPJ103","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ103/1762722","22","11"
"R18","42.7k","RN73R1JTTD4272B25","https://www.digikey.jp/ja/products/detail/koa-speer-electronics-inc/RN73R1JTTD4272B25/10017251","15","1"
"R19","390","ESR03EZPD3900","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPD3900/21326149","31","1"
"R20","330","ESR03EZPJ331","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ331/1762730","22","1"
"R24,R25","20","ESR03EZPJ200","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/ESR03EZPJ200/1983461","21","2"
"R28,R30,R31,R33","3.7k","RN73R1JTTD3701B25","https://www.digikey.jp/ja/products/detail/koa-speer-electronics-inc/RN73R1JTTD3701B25/10016282","15","4"
"R32","10","CPA2512Q10R0FS-T10","https://www.digikey.jp/ja/products/detail/susumu/CPA2512Q10R0FS-T10/1935792","306","1"
"R37","71.5k","ERJ-3EKF7152V","https://www.digikey.jp/ja/products/detail/panasonic-electronic-components/ERJ-3EKF7152V/196462","15","1"
"RV1","200k","3362P-1-204LF","https://www.digikey.jp/ja/products/detail/bourns-inc/3362P-1-204LF/1088418","136","1"
"SW1","CAN_R","SLW-913535-2A-SMT","https://www.digikey.jp/ja/products/detail/same-sky-formerly-cui-devices/SLW-913535-2A-SMT/21259974?_gl=1*2eq727*_up*MQ..*_gs*MQ..&gclid=Cj0KCQjwqIm_BhDnARIsAKBYcmtr85GvWvmuwiIiB0lEAl5wBh9HzS525Q1VXsHXNad484Q9yd81RwYaAhDCEALw_wcB&gclsrc=aw.ds","87","1"
"SW2","Reset","TVAF06-A020B-R","https://akizukidenshi.com/catalog/g/g114888/","22","1"
"U1","TLV1117-33","TLV1117-33CDCYR","https://www.digikey.jp/ja/products/detail/texas-instruments/TLV1117-33CDCYR/1216718","63","1"
"U2","LED_GRB","SMLVN6RGB1W1","https://www.digikey.jp/ja/products/detail/rohm-semiconductor/SMLVN6RGB1W1/5053781","244","1"
"U3","RECxxK-AW","REC20K-2405SZ","https://www.digikey.jp/ja/products/detail/recom-power/REC20K-2405SZ/24366408","2851","1"
"U4","STM32F303K8Tx","STM32F303K8T6","https://akizukidenshi.com/catalog/g/g110790/","780","1"
"U5","MCP2561/2FD","MCP2562FDT-E/SN","https://www.digikey.jp/ja/products/detail/microchip-technology/MCP2562FDT-E-SN/4860105","202","1"
"U6","CH340E","CH340E","https://akizukidenshi.com/catalog/g/g113543/","90","1"
"U7","MLX91221xxx-ABx-xxx-RE","MLX91221KDF-ABF-075-SP","https://www.digikey.jp/ja/products/detail/melexis-technologies-nv/MLX91221KDF-ABF-075-SP/13572122","683","1"
"U8","UCC21550xDWR","UCC21550BQDWRQ1","https://www.digikey.jp/ja/products/detail/texas-instruments/UCC21550BQDWRQ1/22147161","492","1"
"U9","Si7938DP","SI7938DP-T1-GE3","https://www.digikey.jp/ja/products/detail/vishay-siliconix/SI7938DP-T1-GE3/2441752","287","1"
"U10","VO615A","VO615A-8X017T","https://www.digikey.jp/ja/products/detail/vishay-semiconductor-opto-division/VO615A-8X017T/4074042","58","1"
"U11","TLP7820","TLP7820","https://akizukidenshi.com/catalog/g/g118364/","600","1"
"U12","NJM7812SDL1","NJM7812SDL1","https://akizukidenshi.com/catalog/g/g110978/","50","1"
"U13","LM7805","LM7805RS","https://akizukidenshi.com/catalog/g/g118082/","40","1"
"Y1","Crystal_GND2","XRCGB32M000F1SADR0","https://www.digikey.jp/ja/products/detail/murata-electronics/XRCGB32M000F1SADR0/21662918","52","1"
